disease_id,name,category,symptoms,severity,specialist,diet_to_eat,diet_to_avoid,workout,medicine_name,medicine_desc,base_dosage_mg,safe_tip,dangerous_myth
12,Common Cold (Variant 12),Infectious,"Itching, Nausea, Body ache",10,Specialist Doctor,Pomegranate,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting oil or ghee on open wounds.
13,Diarrhea (Variant 13),Gastrointestinal,"Itching, Fatigue, Stomach pain",5,General Physician,Pomegranate,Deep-fried pakoras,Complete Bed Rest,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
14,Vitamin D Deficiency (Variant 14),General,"Vomiting, Body ache, Fatigue",10,Specialist Doctor,Papaya,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
15,Eczema (Variant 15),Skin,"Vomiting, Fatigue, Headache",9,Specialist Doctor,Curd rice,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Rubbing heavy salt on rashes.
16,Typhoid (Variant 16),Infectious,"Cough, Nausea, Fever",4,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Jeera water for digestion.,Putting oil or ghee on open wounds.
17,Vitamin D Deficiency (Variant 17),General,"Fatigue, Cough, Fever",10,Specialist Doctor,Moong Dal Khichdi,Cold drinks,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
18,Gastritis (Variant 18),Gastrointestinal,"Vomiting, Stomach pain, Nausea",7,Specialist Doctor,Papaya,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
19,Acne (Variant 19),Skin,"Headache, Fever, Vomiting",2,General Physician,Boiled vegetables,Deep-fried pakoras,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Warm turmeric milk (Haldi Doodh) for immunity.,Putting onions in armpits to reduce fever.
20,Eczema (Variant 20),Skin,"Fever, Stomach pain, Headache",9,Specialist Doctor,Curd rice,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
21,Food Poisoning (Variant 21),Gastrointestinal,"Stomach pain, Body ache, Vomiting",5,General Physician,Pomegranate,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,500,Warm turmeric milk (Haldi Doodh) for immunity.,Using battery acid for skin patches.
22,Acidity (Variant 22),Gastrointestinal,"Fever, Vomiting, Cough",5,General Physician,Papaya,Excessive caffeine,Light stretching,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Coconut water for rehydration.,Using battery acid for skin patches.
23,Sinusitis (Variant 23),Respiratory,"Itching, Fatigue, Stomach pain",10,Specialist Doctor,Moong Dal Khichdi,Spicy street food,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
24,Anemia (Variant 24),General,"Itching, Stomach pain, Vomiting",10,Specialist Doctor,Curd rice,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
25,Sinusitis (Variant 25),Respiratory,"Stomach pain, Vomiting, Nausea",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
26,Eczema (Variant 26),Skin,"Headache, Fatigue, Stomach pain",2,General Physician,Pomegranate,Spicy street food,Yoga (Pranayama),Omeprazole,Standard OTC Omeprazole for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
27,Bronchitis (Variant 27),Respiratory,"Stomach pain, Body ache, Nausea",5,General Physician,Curd rice,Cold drinks,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
28,Sunburn (Variant 28),Skin,"Vomiting, Fever, Stomach pain",1,General Physician,Curd rice,Raw salads (if infectious),Yoga (Pranayama),Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
29,Diarrhea (Variant 29),Gastrointestinal,"Headache, Fever, Fatigue",4,General Physician,Papaya,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
30,Fungal Infection (Variant 30),Skin,"Fatigue, Itching, Cough",2,General Physician,Boiled vegetables,Cold drinks,Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Coconut water for rehydration.,Using battery acid for skin patches.
31,Food Poisoning (Variant 31),Gastrointestinal,"Nausea, Fever, Headache",10,Specialist Doctor,Pomegranate,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
32,Amoebiasis (Variant 32),Gastrointestinal,"Fever, Cough, Headache",1,General Physician,Pomegranate,Deep-fried pakoras,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
33,Dengue (Variant 33),Infectious,"Cough, Vomiting, Fatigue",4,General Physician,Curd rice,Cold drinks,Complete Bed Rest,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
34,Bronchitis (Variant 34),Respiratory,"Stomach pain, Fatigue, Cough",4,General Physician,Moong Dal Khichdi,Deep-fried pakoras,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
35,Dengue (Variant 35),Infectious,"Cough, Headache, Fatigue",5,General Physician,Pomegranate,Spicy street food,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
36,Allergic Rhinitis (Variant 36),Respiratory,"Itching, Nausea, Fever",7,Specialist Doctor,Boiled vegetables,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
37,Gastritis (Variant 37),Gastrointestinal,"Stomach pain, Itching, Headache",9,Specialist Doctor,Pomegranate,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
38,Bronchitis (Variant 38),Respiratory,"Vomiting, Stomach pain, Fatigue",6,Specialist Doctor,Pomegranate,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting oil or ghee on open wounds.
39,Eczema (Variant 39),Skin,"Headache, Vomiting, Stomach pain",7,Specialist Doctor,Papaya,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
40,Sunburn (Variant 40),Skin,"Headache, Nausea, Fatigue",1,General Physician,Papaya,Cold drinks,Anulom Vilom,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
41,Diarrhea (Variant 41),Gastrointestinal,"Vomiting, Fever, Nausea",9,Specialist Doctor,Boiled vegetables,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
42,Food Poisoning (Variant 42),Gastrointestinal,"Fatigue, Fever, Body ache",4,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
43,Fungal Infection (Variant 43),Skin,"Itching, Nausea, Vomiting",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting onions in armpits to reduce fever.
44,Food Poisoning (Variant 44),Gastrointestinal,"Stomach pain, Nausea, Vomiting",8,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
45,Bronchitis (Variant 45),Respiratory,"Fatigue, Cough, Itching",9,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
46,Amoebiasis (Variant 46),Gastrointestinal,"Fatigue, Vomiting, Itching",1,General Physician,Boiled vegetables,Excessive caffeine,Light stretching,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
47,Bronchitis (Variant 47),Respiratory,"Headache, Fever, Fatigue",10,Specialist Doctor,Papaya,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
48,Anemia (Variant 48),General,"Itching, Cough, Stomach pain",8,Specialist Doctor,Curd rice,Spicy street food,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
49,Acne (Variant 49),Skin,"Cough, Body ache, Fever",7,Specialist Doctor,Moong Dal Khichdi,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
50,Food Poisoning (Variant 50),Gastrointestinal,"Cough, Stomach pain, Fever",4,General Physician,Papaya,Excessive caffeine,Yoga (Pranayama),Paracetamol,Standard OTC Paracetamol for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Using battery acid for skin patches.
51,Heat Rash (Variant 51),Skin,"Body ache, Cough, Stomach pain",1,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,500,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
52,Acidity (Variant 52),Gastrointestinal,"Vomiting, Cough, Fatigue",3,General Physician,Pomegranate,Deep-fried pakoras,Complete Bed Rest,ORS,Standard OTC ORS for symptomatic relief.,500,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
53,Sinusitis (Variant 53),Respiratory,"Body ache, Cough, Fatigue",8,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Putting oil or ghee on open wounds.
54,Asthma (Variant 54),Respiratory,"Stomach pain, Fatigue, Body ache",8,Specialist Doctor,Boiled vegetables,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
55,Vitamin D Deficiency (Variant 55),General,"Itching, Fatigue, Stomach pain",9,Specialist Doctor,Pomegranate,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
56,Food Poisoning (Variant 56),Gastrointestinal,"Itching, Body ache, Fever",8,Specialist Doctor,Pomegranate,Raw salads (if infectious),Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting oil or ghee on open wounds.
57,Dengue (Variant 57),Infectious,"Nausea, Itching, Headache",4,General Physician,Papaya,Cold drinks,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
58,Food Poisoning (Variant 58),Gastrointestinal,"Fatigue, Stomach pain, Nausea",9,Specialist Doctor,Curd rice,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
59,Typhoid (Variant 59),Infectious,"Itching, Nausea, Vomiting",10,Specialist Doctor,Boiled vegetables,Raw salads (if infectious),Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
60,Sunburn (Variant 60),Skin,"Body ache, Fatigue, Cough",6,Specialist Doctor,Moong Dal Khichdi,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting onions in armpits to reduce fever.
61,Food Poisoning (Variant 61),Gastrointestinal,"Nausea, Fever, Fatigue",1,General Physician,Papaya,Raw salads (if infectious),Anulom Vilom,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,500,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
62,Influenza (Variant 62),Infectious,"Headache, Itching, Stomach pain",10,Specialist Doctor,Curd rice,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
63,Heat Stroke (Variant 63),General,"Stomach pain, Vomiting, Headache",5,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,650,Jeera water for digestion.,Putting onions in armpits to reduce fever.
64,Sinusitis (Variant 64),Respiratory,"Stomach pain, Itching, Headache",7,Specialist Doctor,Pomegranate,Cold drinks,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
65,Fungal Infection (Variant 65),Skin,"Fatigue, Vomiting, Stomach pain",2,General Physician,Boiled vegetables,Spicy street food,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
66,Eczema (Variant 66),Skin,"Body ache, Vomiting, Itching",5,General Physician,Moong Dal Khichdi,Deep-fried pakoras,Brisk walking,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
67,Food Poisoning (Variant 67),Gastrointestinal,"Headache, Nausea, Fatigue",2,General Physician,Papaya,Spicy street food,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
68,Chickenpox (Variant 68),Infectious,"Cough, Nausea, Fever",10,Specialist Doctor,Papaya,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
69,Heat Stroke (Variant 69),General,"Cough, Stomach pain, Fatigue",5,General Physician,Moong Dal Khichdi,Cold drinks,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
70,Gastritis (Variant 70),Gastrointestinal,"Fatigue, Fever, Vomiting",2,General Physician,Pomegranate,Cold drinks,Light stretching,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
71,Influenza (Variant 71),Infectious,"Fever, Headache, Vomiting",9,Specialist Doctor,Pomegranate,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
72,Bronchitis (Variant 72),Respiratory,"Stomach pain, Cough, Vomiting",8,Specialist Doctor,Pomegranate,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
73,Dehydration (Variant 73),General,"Vomiting, Fatigue, Fever",4,General Physician,Curd rice,Raw salads (if infectious),Complete Bed Rest,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
74,Sinusitis (Variant 74),Respiratory,"Fatigue, Stomach pain, Body ache",6,Specialist Doctor,Curd rice,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
75,Heat Stroke (Variant 75),General,"Fatigue, Nausea, Headache",1,General Physician,Pomegranate,Deep-fried pakoras,Anulom Vilom,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
76,Anemia (Variant 76),General,"Stomach pain, Cough, Vomiting",7,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting oil or ghee on open wounds.
77,Asthma (Variant 77),Respiratory,"Fever, Nausea, Headache",7,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
78,Acne (Variant 78),Skin,"Cough, Body ache, Stomach pain",3,General Physician,Pomegranate,Cold drinks,Light stretching,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
79,Heat Stroke (Variant 79),General,"Fatigue, Body ache, Itching",5,General Physician,Moong Dal Khichdi,Raw salads (if infectious),Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
80,Diarrhea (Variant 80),Gastrointestinal,"Stomach pain, Cough, Body ache",8,Specialist Doctor,Boiled vegetables,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Rubbing heavy salt on rashes.
81,Eczema (Variant 81),Skin,"Itching, Fatigue, Body ache",2,General Physician,Boiled vegetables,Spicy street food,Brisk walking,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,500,Saltwater gargles for throat infection.,Putting oil or ghee on open wounds.
82,Asthma (Variant 82),Respiratory,"Body ache, Itching, Nausea",6,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
83,Sunburn (Variant 83),Skin,"Vomiting, Cough, Fever",4,General Physician,Boiled vegetables,Excessive caffeine,Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Coconut water for rehydration.,Putting oil or ghee on open wounds.
84,Sunburn (Variant 84),Skin,"Headache, Nausea, Stomach pain",5,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
85,Typhoid (Variant 85),Infectious,"Headache, Fatigue, Fever",7,Specialist Doctor,Papaya,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
86,Malaria (Variant 86),Infectious,"Fever, Cough, Vomiting",4,General Physician,Papaya,Spicy street food,Light stretching,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,250,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
87,Amoebiasis (Variant 87),Gastrointestinal,"Headache, Itching, Stomach pain",1,General Physician,Moong Dal Khichdi,Excessive caffeine,Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
88,Dehydration (Variant 88),General,"Cough, Fatigue, Itching",8,Specialist Doctor,Papaya,Cold drinks,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
89,Asthma (Variant 89),Respiratory,"Headache, Fever, Itching",4,General Physician,Pomegranate,Spicy street food,Brisk walking,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,650,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
90,Fungal Infection (Variant 90),Skin,"Body ache, Itching, Fatigue",9,Specialist Doctor,Curd rice,Raw salads (if infectious),Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
91,Common Cold (Variant 91),Infectious,"Headache, Stomach pain, Itching",5,General Physician,Curd rice,Raw salads (if infectious),Yoga (Pranayama),Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Jeera water for digestion.,Putting oil or ghee on open wounds.
92,Vitamin D Deficiency (Variant 92),General,"Body ache, Headache, Fever",7,Specialist Doctor,Curd rice,Cold drinks,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
93,Food Poisoning (Variant 93),Gastrointestinal,"Itching, Fever, Vomiting",5,General Physician,Pomegranate,Excessive caffeine,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
94,Acne (Variant 94),Skin,"Fever, Nausea, Itching",2,General Physician,Curd rice,Raw salads (if infectious),Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
95,Eczema (Variant 95),Skin,"Itching, Headache, Cough",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
96,Vitamin D Deficiency (Variant 96),General,"Fever, Body ache, Vomiting",5,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,650,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
97,Eczema (Variant 97),Skin,"Vomiting, Stomach pain, Itching",2,General Physician,Papaya,Raw salads (if infectious),Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
98,Fungal Infection (Variant 98),Skin,"Itching, Fever, Cough",4,General Physician,Moong Dal Khichdi,Spicy street food,Light stretching,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
