disease_id,name,category,symptoms,severity,specialist,diet_to_eat,diet_to_avoid,workout,medicine_name,medicine_desc,base_dosage_mg,safe_tip,dangerous_myth
28,Sunburn,Skin,"fever, stomach pain, vomiting",1,General Physician,Curd rice,Raw salads (if infectious),Yoga (Pranayama),Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
29,Diarrhea,Gastrointestinal,"fatigue, fever, headache",4,General Physician,Papaya,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
30,Fungal Infection,Skin,"cough, fatigue, itching",2,General Physician,Boiled vegetables,Cold drinks,Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Coconut water for rehydration.,Using battery acid for skin patches.
31,Food Poisoning,Gastrointestinal,"fever, headache, nausea",10,Specialist Doctor,Pomegranate,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
32,Amoebiasis,Gastrointestinal,"cough, fever, headache",1,General Physician,Pomegranate,Deep-fried pakoras,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
33,Dengue,Infectious,"cough, fatigue, vomiting",4,General Physician,Curd rice,Cold drinks,Complete Bed Rest,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
34,Bronchitis,Respiratory,"cough, fatigue, stomach pain",4,General Physician,Moong Dal Khichdi,Deep-fried pakoras,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
35,Dengue,Infectious,"cough, fatigue, headache",5,General Physician,Pomegranate,Spicy street food,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
36,Allergic Rhinitis,Respiratory,"fever, itching, nausea",7,Specialist Doctor,Boiled vegetables,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
37,Gastritis,Gastrointestinal,"headache, itching, stomach pain",9,Specialist Doctor,Pomegranate,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
38,Bronchitis,Respiratory,"fatigue, stomach pain, vomiting",6,Specialist Doctor,Pomegranate,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting oil or ghee on open wounds.
39,Eczema,Skin,"headache, stomach pain, vomiting",7,Specialist Doctor,Papaya,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
40,Sunburn,Skin,"fatigue, headache, nausea",1,General Physician,Papaya,Cold drinks,Anulom Vilom,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
41,Diarrhea,Gastrointestinal,"fever, nausea, vomiting",9,Specialist Doctor,Boiled vegetables,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
42,Food Poisoning,Gastrointestinal,"body ache, fatigue, fever",4,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
43,Fungal Infection,Skin,"itching, nausea, vomiting",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting onions in armpits to reduce fever.
44,Food Poisoning,Gastrointestinal,"nausea, stomach pain, vomiting",8,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
45,Bronchitis,Respiratory,"cough, fatigue, itching",9,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
46,Amoebiasis,Gastrointestinal,"fatigue, itching, vomiting",1,General Physician,Boiled vegetables,Excessive caffeine,Light stretching,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
47,Bronchitis,Respiratory,"fatigue, fever, headache",10,Specialist Doctor,Papaya,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
48,Anemia,General,"cough, itching, stomach pain",8,Specialist Doctor,Curd rice,Spicy street food,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
49,Acne,Skin,"body ache, cough, fever",7,Specialist Doctor,Moong Dal Khichdi,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
50,Food Poisoning,Gastrointestinal,"cough, fever, stomach pain",4,General Physician,Papaya,Excessive caffeine,Yoga (Pranayama),Paracetamol,Standard OTC Paracetamol for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Using battery acid for skin patches.
51,Heat Rash,Skin,"body ache, cough, stomach pain",1,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,500,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
52,Acidity,Gastrointestinal,"cough, fatigue, vomiting",3,General Physician,Pomegranate,Deep-fried pakoras,Complete Bed Rest,ORS,Standard OTC ORS for symptomatic relief.,500,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
53,Sinusitis,Respiratory,"body ache, cough, fatigue",8,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Putting oil or ghee on open wounds.
54,Asthma,Respiratory,"body ache, fatigue, stomach pain",8,Specialist Doctor,Boiled vegetables,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
55,Vitamin D Deficiency,General,"fatigue, itching, stomach pain",9,Specialist Doctor,Pomegranate,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
56,Food Poisoning,Gastrointestinal,"body ache, fever, itching",8,Specialist Doctor,Pomegranate,Raw salads (if infectious),Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting oil or ghee on open wounds.
57,Dengue,Infectious,"headache, itching, nausea",4,General Physician,Papaya,Cold drinks,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
58,Food Poisoning,Gastrointestinal,"fatigue, nausea, stomach pain",9,Specialist Doctor,Curd rice,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
59,Typhoid,Infectious,"itching, nausea, vomiting",10,Specialist Doctor,Boiled vegetables,Raw salads (if infectious),Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
60,Sunburn,Skin,"body ache, cough, fatigue",6,Specialist Doctor,Moong Dal Khichdi,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting onions in armpits to reduce fever.
61,Food Poisoning,Gastrointestinal,"fatigue, fever, nausea",1,General Physician,Papaya,Raw salads (if infectious),Anulom Vilom,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,500,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
62,Influenza,Infectious,"headache, itching, stomach pain",10,Specialist Doctor,Curd rice,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
63,Heat Stroke,General,"headache, stomach pain, vomiting",5,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,650,Jeera water for digestion.,Putting onions in armpits to reduce fever.
64,Sinusitis,Respiratory,"headache, itching, stomach pain",7,Specialist Doctor,Pomegranate,Cold drinks,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
65,Fungal Infection,Skin,"fatigue, stomach pain, vomiting",2,General Physician,Boiled vegetables,Spicy street food,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
66,Eczema,Skin,"body ache, itching, vomiting",5,General Physician,Moong Dal Khichdi,Deep-fried pakoras,Brisk walking,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
67,Food Poisoning,Gastrointestinal,"fatigue, headache, nausea",2,General Physician,Papaya,Spicy street food,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
68,Chickenpox,Infectious,"cough, fever, nausea",10,Specialist Doctor,Papaya,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
69,Heat Stroke,General,"cough, fatigue, stomach pain",5,General Physician,Moong Dal Khichdi,Cold drinks,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
70,Gastritis,Gastrointestinal,"fatigue, fever, vomiting",2,General Physician,Pomegranate,Cold drinks,Light stretching,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
71,Influenza,Infectious,"fever, headache, vomiting",9,Specialist Doctor,Pomegranate,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
72,Bronchitis,Respiratory,"cough, stomach pain, vomiting",8,Specialist Doctor,Pomegranate,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
73,Dehydration,General,"fatigue, fever, vomiting",4,General Physician,Curd rice,Raw salads (if infectious),Complete Bed Rest,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
74,Sinusitis,Respiratory,"body ache, fatigue, stomach pain",6,Specialist Doctor,Curd rice,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
75,Heat Stroke,General,"fatigue, headache, nausea",1,General Physician,Pomegranate,Deep-fried pakoras,Anulom Vilom,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
76,Anemia,General,"cough, stomach pain, vomiting",7,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting oil or ghee on open wounds.
77,Asthma,Respiratory,"fever, headache, nausea",7,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
78,Acne,Skin,"body ache, cough, stomach pain",3,General Physician,Pomegranate,Cold drinks,Light stretching,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
79,Heat Stroke,General,"body ache, fatigue, itching",5,General Physician,Moong Dal Khichdi,Raw salads (if infectious),Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
80,Diarrhea,Gastrointestinal,"body ache, cough, stomach pain",8,Specialist Doctor,Boiled vegetables,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Rubbing heavy salt on rashes.
81,Eczema,Skin,"body ache, fatigue, itching",2,General Physician,Boiled vegetables,Spicy street food,Brisk walking,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,500,Saltwater gargles for throat infection.,Putting oil or ghee on open wounds.
82,Asthma,Respiratory,"body ache, itching, nausea",6,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
83,Sunburn,Skin,"cough, fever, vomiting",4,General Physician,Boiled vegetables,Excessive caffeine,Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Coconut water for rehydration.,Putting oil or ghee on open wounds.
84,Sunburn,Skin,"headache, nausea, stomach pain",5,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
85,Typhoid,Infectious,"fatigue, fever, headache",7,Specialist Doctor,Papaya,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
86,Malaria,Infectious,"cough, fever, vomiting",4,General Physician,Papaya,Spicy street food,Light stretching,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,250,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
87,Amoebiasis,Gastrointestinal,"headache, itching, stomach pain",1,General Physician,Moong Dal Khichdi,Excessive caffeine,Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
88,Dehydration,General,"cough, fatigue, itching",8,Specialist Doctor,Papaya,Cold drinks,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
89,Asthma,Respiratory,"fever, headache, itching",4,General Physician,Pomegranate,Spicy street food,Brisk walking,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,650,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
90,Fungal Infection,Skin,"body ache, fatigue, itching",9,Specialist Doctor,Curd rice,Raw salads (if infectious),Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
91,Common Cold,Infectious,"headache, itching, stomach pain",5,General Physician,Curd rice,Raw salads (if infectious),Yoga (Pranayama),Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Jeera water for digestion.,Putting oil or ghee on open wounds.
92,Vitamin D Deficiency,General,"body ache, fever, headache",7,Specialist Doctor,Curd rice,Cold drinks,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
93,Food Poisoning,Gastrointestinal,"fever, itching, vomiting",5,General Physician,Pomegranate,Excessive caffeine,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
94,Acne,Skin,"fever, itching, nausea",2,General Physician,Curd rice,Raw salads (if infectious),Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
95,Eczema,Skin,"cough, headache, itching",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
96,Vitamin D Deficiency,General,"body ache, fever, vomiting",5,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,650,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
97,Eczema,Skin,"itching, stomach pain, vomiting",2,General Physician,Papaya,Raw salads (if infectious),Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
98,Fungal Infection,Skin,"cough, fever, itching",4,General Physician,Moong Dal Khichdi,Spicy street food,Light stretching,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
99,Influenza,Infectious,"fever, itching, stomach pain",5,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
100,Gastritis,Gastrointestinal,"cough, itching, vomiting",5,General Physician,Moong Dal Khichdi,Raw salads (if infectious),Brisk walking,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,500,Jeera water for digestion.,Using battery acid for skin patches.
101,Acne,Skin,"body ache, headache, stomach pain",9,Specialist Doctor,Curd rice,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
102,Allergic Rhinitis,Respiratory,"cough, headache, stomach pain",2,General Physician,Moong Dal Khichdi,Spicy street food,Anulom Vilom,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Saltwater gargles for throat infection.,Putting oil or ghee on open wounds.
103,Gastritis,Gastrointestinal,"body ache, fever, headache",3,General Physician,Moong Dal Khichdi,Spicy street food,Anulom Vilom,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
104,Sinusitis,Respiratory,"body ache, fatigue, vomiting",10,Specialist Doctor,Papaya,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
105,Heat Rash,Skin,"body ache, fatigue, headache",6,Specialist Doctor,Curd rice,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting onions in armpits to reduce fever.
