disease_id,name,category,symptoms,severity,specialist,diet_to_eat,diet_to_avoid,workout,medicine_name,medicine_desc,base_dosage_mg,safe_tip,dangerous_myth
11,Influenza,Infectious,"High fever, Severe body ache, Dry cough",5,General Physician,Boiled vegetables,Excessive caffeine,Complete Bed Rest,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
12,Common Cold,Infectious,"Sore throat, Sneezing, Runny nose, Mild fever",10,Specialist Doctor,Pomegranate,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting oil or ghee on open wounds.
13,Diarrhea,Gastrointestinal,"Loose stools, Dehydration, Abdominal cramps, Urgency",5,General Physician,Pomegranate,Deep-fried pakoras,Complete Bed Rest,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
14,Vitamin D Deficiency,General,"Muscle weakness, Hair loss, Bone pain, Mood changes",10,Specialist Doctor,Papaya,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
15,Eczema,Skin,"Dry skin, Itchy patches, Red inflammation, Cracked skin",9,Specialist Doctor,Curd rice,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Rubbing heavy salt on rashes.
16,Typhoid,Infectious,"High fever, Coated tongue, Stomach pain",4,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Jeera water for digestion.,Putting oil or ghee on open wounds.
17,Vitamin D Deficiency,General,"Bone pain, Mood changes, Hair loss",10,Specialist Doctor,Moong Dal Khichdi,Cold drinks,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
18,Gastritis,Gastrointestinal,"Feeling full after small meal, Indigestion, Nausea",7,Specialist Doctor,Papaya,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
19,Acne,Skin,"Pimples, Red bumps, Oily skin",2,General Physician,Boiled vegetables,Deep-fried pakoras,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Warm turmeric milk (Haldi Doodh) for immunity.,Putting onions in armpits to reduce fever.
20,Eczema,Skin,"Red inflammation, Dry skin, Itchy patches",9,Specialist Doctor,Curd rice,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
21,Food Poisoning,Gastrointestinal,"Diarrhea, Abdominal cramps, Projectile vomiting",5,General Physician,Pomegranate,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,500,Warm turmeric milk (Haldi Doodh) for immunity.,Using battery acid for skin patches.
22,Acidity,Gastrointestinal,"Bloating, Burning sensation in chest, Heartburn, Sour burps",5,General Physician,Papaya,Excessive caffeine,Light stretching,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Coconut water for rehydration.,Using battery acid for skin patches.
23,Sinusitis,Respiratory,"Stuffed nose, Facial pressure, Thick yellow mucus",10,Specialist Doctor,Moong Dal Khichdi,Spicy street food,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
24,Anemia,General,"Brittle nails, Cold hands, Extreme fatigue, Pale skin",10,Specialist Doctor,Curd rice,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
25,Sinusitis,Respiratory,"Headache, Facial pressure, Stuffed nose, Thick yellow mucus",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
26,Eczema,Skin,"Cracked skin, Itchy patches, Red inflammation, Dry skin",2,General Physician,Pomegranate,Spicy street food,Yoga (Pranayama),Omeprazole,Standard OTC Omeprazole for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
27,Bronchitis,Respiratory,"Wheezing, Chest congestion, Persistent cough",5,General Physician,Curd rice,Cold drinks,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
28,Sunburn,Skin,"Blisters, Hot to touch, Peeling skin",1,General Physician,Curd rice,Raw salads (if infectious),Yoga (Pranayama),Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
29,Diarrhea,Gastrointestinal,"Abdominal cramps, Loose stools, Dehydration",4,General Physician,Papaya,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
30,Fungal Infection,Skin,"Ring-shaped rash, Scaly skin, Discolored nails, Itching between toes",2,General Physician,Boiled vegetables,Cold drinks,Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Coconut water for rehydration.,Using battery acid for skin patches.
31,Food Poisoning,Gastrointestinal,"Diarrhea, Fever, Abdominal cramps",10,Specialist Doctor,Pomegranate,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
32,Amoebiasis,Gastrointestinal,"Tenesmus, Bloody stools, Stomach cramps, Weight loss",1,General Physician,Pomegranate,Deep-fried pakoras,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
33,Dengue,Infectious,"High fever, Joint pain, Retro-orbital pain, Bleeding gums",4,General Physician,Curd rice,Cold drinks,Complete Bed Rest,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
34,Bronchitis,Respiratory,"Chest congestion, Wheezing, Shortness of breath",4,General Physician,Moong Dal Khichdi,Deep-fried pakoras,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
35,Dengue,Infectious,"Joint pain, Bleeding gums, Retro-orbital pain, High fever",5,General Physician,Pomegranate,Spicy street food,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
36,Allergic Rhinitis,Respiratory,"Puffy eyelids, Watery eyes, Constant sneezing, Itchy nose",7,Specialist Doctor,Boiled vegetables,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
37,Gastritis,Gastrointestinal,"Upper stomach pain, Feeling full after small meal, Nausea, Indigestion",9,Specialist Doctor,Pomegranate,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
38,Bronchitis,Respiratory,"Chest congestion, Wheezing, Persistent cough",6,Specialist Doctor,Pomegranate,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting oil or ghee on open wounds.
39,Eczema,Skin,"Cracked skin, Red inflammation, Dry skin",7,Specialist Doctor,Papaya,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
40,Sunburn,Skin,"Hot to touch, Blisters, Peeling skin",1,General Physician,Papaya,Cold drinks,Anulom Vilom,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,650,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
41,Diarrhea,Gastrointestinal,"Urgency, Loose stools, Dehydration, Abdominal cramps",9,Specialist Doctor,Boiled vegetables,Cold drinks,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
42,Food Poisoning,Gastrointestinal,"Diarrhea, Fever, Abdominal cramps",4,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
43,Fungal Infection,Skin,"Discolored nails, Scaly skin, Itching between toes, Ring-shaped rash",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting onions in armpits to reduce fever.
44,Food Poisoning,Gastrointestinal,"Fever, Projectile vomiting, Diarrhea",8,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
45,Bronchitis,Respiratory,"Shortness of breath, Persistent cough, Wheezing",9,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
46,Amoebiasis,Gastrointestinal,"Tenesmus, Stomach cramps, Bloody stools",1,General Physician,Boiled vegetables,Excessive caffeine,Light stretching,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
47,Bronchitis,Respiratory,"Shortness of breath, Wheezing, Chest congestion, Persistent cough",10,Specialist Doctor,Papaya,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
48,Anemia,General,"Brittle nails, Extreme fatigue, Pale skin, Cold hands",8,Specialist Doctor,Curd rice,Spicy street food,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
49,Acne,Skin,"Red bumps, Blackheads, Oily skin",7,Specialist Doctor,Moong Dal Khichdi,Spicy street food,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
50,Food Poisoning,Gastrointestinal,"Projectile vomiting, Diarrhea, Fever, Abdominal cramps",4,General Physician,Papaya,Excessive caffeine,Yoga (Pranayama),Paracetamol,Standard OTC Paracetamol for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Using battery acid for skin patches.
51,Heat Rash,Skin,"Itching in sweat areas, Prickly heat, Mild swelling, Small red bumps",1,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,500,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
52,Acidity,Gastrointestinal,"Burning sensation in chest, Bloating, Heartburn, Sour burps",3,General Physician,Pomegranate,Deep-fried pakoras,Complete Bed Rest,ORS,Standard OTC ORS for symptomatic relief.,500,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
53,Sinusitis,Respiratory,"Headache, Facial pressure, Stuffed nose",8,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Putting oil or ghee on open wounds.
54,Asthma,Respiratory,"Chest tightness, Difficulty breathing, Night cough, Wheezing sounds",8,Specialist Doctor,Boiled vegetables,Excessive caffeine,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
55,Vitamin D Deficiency,General,"Hair loss, Mood changes, Muscle weakness",9,Specialist Doctor,Pomegranate,Raw salads (if infectious),Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
56,Food Poisoning,Gastrointestinal,"Fever, Abdominal cramps, Projectile vomiting, Diarrhea",8,Specialist Doctor,Pomegranate,Raw salads (if infectious),Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting oil or ghee on open wounds.
57,Dengue,Infectious,"Joint pain, High fever, Bleeding gums",4,General Physician,Papaya,Cold drinks,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,500,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
58,Food Poisoning,Gastrointestinal,"Fever, Projectile vomiting, Abdominal cramps",9,Specialist Doctor,Curd rice,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
59,Typhoid,Infectious,"Coated tongue, Stomach pain, High fever, Rose spots",10,Specialist Doctor,Boiled vegetables,Raw salads (if infectious),Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
60,Sunburn,Skin,"Hot to touch, Peeling skin, Red painful skin, Blisters",6,Specialist Doctor,Moong Dal Khichdi,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting onions in armpits to reduce fever.
61,Food Poisoning,Gastrointestinal,"Abdominal cramps, Diarrhea, Fever",1,General Physician,Papaya,Raw salads (if infectious),Anulom Vilom,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,500,Jeera water for digestion.,Applying Colgate/toothpaste on burns (causes infection).
62,Influenza,Infectious,"Severe body ache, High fever, Dry cough, Chills",10,Specialist Doctor,Curd rice,Cold drinks,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
63,Heat Stroke,General,"No sweating, Body temp above 104F, Confusion",5,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,650,Jeera water for digestion.,Putting onions in armpits to reduce fever.
64,Sinusitis,Respiratory,"Headache, Stuffed nose, Thick yellow mucus, Facial pressure",7,Specialist Doctor,Pomegranate,Cold drinks,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
65,Fungal Infection,Skin,"Ring-shaped rash, Scaly skin, Itching between toes",2,General Physician,Boiled vegetables,Spicy street food,Brisk walking,Loperamide,Standard OTC Loperamide for symptomatic relief.,250,Ginger and honey tea for sore throat.,Using battery acid for skin patches.
66,Eczema,Skin,"Dry skin, Itchy patches, Red inflammation, Cracked skin",5,General Physician,Moong Dal Khichdi,Deep-fried pakoras,Brisk walking,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
67,Food Poisoning,Gastrointestinal,"Fever, Projectile vomiting, Diarrhea, Abdominal cramps",2,General Physician,Papaya,Spicy street food,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
68,Chickenpox,Infectious,"Fever, Loss of appetite, Fluid-filled blisters",10,Specialist Doctor,Papaya,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
69,Heat Stroke,General,"Body temp above 104F, Rapid pulse, No sweating",5,General Physician,Moong Dal Khichdi,Cold drinks,Yoga (Pranayama),Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Saltwater gargles for throat infection.,Rubbing heavy salt on rashes.
70,Gastritis,Gastrointestinal,"Indigestion, Nausea, Upper stomach pain",2,General Physician,Pomegranate,Cold drinks,Light stretching,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
71,Influenza,Infectious,"High fever, Dry cough, Chills, Severe body ache",9,Specialist Doctor,Pomegranate,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Putting onions in armpits to reduce fever.
72,Bronchitis,Respiratory,"Wheezing, Shortness of breath, Chest congestion, Persistent cough",8,Specialist Doctor,Pomegranate,Deep-fried pakoras,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
73,Dehydration,General,"Dry mouth, Dizziness, Dark urine",4,General Physician,Curd rice,Raw salads (if infectious),Complete Bed Rest,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,650,Jeera water for digestion.,Putting oil or ghee on open wounds.
74,Sinusitis,Respiratory,"Thick yellow mucus, Headache, Stuffed nose, Facial pressure",6,Specialist Doctor,Curd rice,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Applying Colgate/toothpaste on burns (causes infection).
75,Heat Stroke,General,"Body temp above 104F, Confusion, Rapid pulse",1,General Physician,Pomegranate,Deep-fried pakoras,Anulom Vilom,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Warm turmeric milk (Haldi Doodh) for immunity.,Putting oil or ghee on open wounds.
76,Anemia,General,"Pale skin, Cold hands, Brittle nails, Extreme fatigue",7,Specialist Doctor,Moong Dal Khichdi,Raw salads (if infectious),Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Putting oil or ghee on open wounds.
77,Asthma,Respiratory,"Chest tightness, Wheezing sounds, Night cough, Difficulty breathing",7,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Applying Colgate/toothpaste on burns (causes infection).
78,Acne,Skin,"Oily skin, Red bumps, Blackheads",3,General Physician,Pomegranate,Cold drinks,Light stretching,Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
79,Heat Stroke,General,"Confusion, Body temp above 104F, Rapid pulse, No sweating",5,General Physician,Moong Dal Khichdi,Raw salads (if infectious),Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
80,Diarrhea,Gastrointestinal,"Loose stools, Dehydration, Abdominal cramps, Urgency",8,Specialist Doctor,Boiled vegetables,Excessive caffeine,Complete Bed Rest,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Rubbing heavy salt on rashes.
81,Eczema,Skin,"Itchy patches, Dry skin, Cracked skin, Red inflammation",2,General Physician,Boiled vegetables,Spicy street food,Brisk walking,Paracetamol,Standard OTC Paracetamol for symptomatic relief.,500,Saltwater gargles for throat infection.,Putting oil or ghee on open wounds.
82,Asthma,Respiratory,"Difficulty breathing, Wheezing sounds, Chest tightness, Night cough",6,Specialist Doctor,Moong Dal Khichdi,Deep-fried pakoras,Anulom Vilom,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
83,Sunburn,Skin,"Hot to touch, Peeling skin, Red painful skin, Blisters",4,General Physician,Boiled vegetables,Excessive caffeine,Brisk walking,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Coconut water for rehydration.,Putting oil or ghee on open wounds.
84,Sunburn,Skin,"Red painful skin, Peeling skin, Blisters",5,General Physician,Boiled vegetables,Cold drinks,Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Coconut water for rehydration.,Using battery acid for skin patches.
85,Typhoid,Infectious,"Stomach pain, Coated tongue, High fever, Rose spots",7,Specialist Doctor,Papaya,Excessive caffeine,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Jeera water for digestion.,Using battery acid for skin patches.
86,Malaria,Infectious,"Shivering chills, Cyclical fever, Splenomegaly",4,General Physician,Papaya,Spicy street food,Light stretching,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,250,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
87,Amoebiasis,Gastrointestinal,"Tenesmus, Bloody stools, Stomach cramps",1,General Physician,Moong Dal Khichdi,Excessive caffeine,Complete Bed Rest,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,250,Warm turmeric milk (Haldi Doodh) for immunity.,Applying Colgate/toothpaste on burns (causes infection).
88,Dehydration,General,"Dry mouth, Dizziness, Dark urine, Extreme thirst",8,Specialist Doctor,Papaya,Cold drinks,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Saltwater gargles for throat infection.,Applying Colgate/toothpaste on burns (causes infection).
89,Asthma,Respiratory,"Chest tightness, Wheezing sounds, Night cough, Difficulty breathing",4,General Physician,Pomegranate,Spicy street food,Brisk walking,Ibuprofen,Standard OTC Ibuprofen for symptomatic relief.,650,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
90,Fungal Infection,Skin,"Ring-shaped rash, Discolored nails, Scaly skin, Itching between toes",9,Specialist Doctor,Curd rice,Raw salads (if infectious),Light stretching,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
91,Common Cold,Infectious,"Mild fever, Sneezing, Sore throat, Runny nose",5,General Physician,Curd rice,Raw salads (if infectious),Yoga (Pranayama),Omeprazole,Standard OTC Omeprazole for symptomatic relief.,250,Jeera water for digestion.,Putting oil or ghee on open wounds.
92,Vitamin D Deficiency,General,"Mood changes, Hair loss, Muscle weakness, Bone pain",7,Specialist Doctor,Curd rice,Cold drinks,Brisk walking,N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Coconut water for rehydration.,Using battery acid for skin patches.
93,Food Poisoning,Gastrointestinal,"Projectile vomiting, Diarrhea, Fever",5,General Physician,Pomegranate,Excessive caffeine,Light stretching,Cetirizine,Standard OTC Cetirizine for symptomatic relief.,650,Saltwater gargles for throat infection.,Putting onions in armpits to reduce fever.
94,Acne,Skin,"Red bumps, Pimples, Blackheads",2,General Physician,Curd rice,Raw salads (if infectious),Anulom Vilom,ORS,Standard OTC ORS for symptomatic relief.,250,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
95,Eczema,Skin,"Dry skin, Red inflammation, Itchy patches",6,Specialist Doctor,Boiled vegetables,Deep-fried pakoras,Yoga (Pranayama),N/A - Prescription Required,Severity is high. Automatic recommendation disabled to ensure safety. Consult a doctor.,0,Warm turmeric milk (Haldi Doodh) for immunity.,Rubbing heavy salt on rashes.
96,Vitamin D Deficiency,General,"Bone pain, Mood changes, Muscle weakness",5,General Physician,Curd rice,Deep-fried pakoras,Brisk walking,ORS,Standard OTC ORS for symptomatic relief.,650,Ginger and honey tea for sore throat.,Rubbing heavy salt on rashes.
